"das_id","contents_name","sub_title","broadcast_date","details","category","type","still_flag","dougaflag","act_id","url","first_release_date","versionno","domestic"
"D0009010009_00000","特集ドラマ　どたんば",,1956,"福岡県の中小炭坑で起きた落盤事故の現場が舞台。事故現場に取り残されたカナリヤと4人の炭鉱労働者の極限状態での葛藤や、安否を心配して駆けつける家族や愛人、事業主とのやりとり、必死の救助作業で3人が救出さ","連続ドラマ,特集","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010009_00000",1956-11-10T20:00:00,1,0
"D0009010023_00000","テレビ指定席　魚住少尉命中",,1963,"沖縄戦に敗れ本土空襲が激しさを増していた敗戦間近の１９４５年（昭和２０年）７月。アメリカ輸送船攻撃のため人間魚雷・回天特別攻撃隊が出撃する。特攻隊員の魚住少尉は、「本土攻撃をわずかでも防げれば」と自ら","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010023_00000",1963-12-07T20:00:00,1,0
"D0009010028_00000","大河ドラマ　源義経","総集編　第１部","1965-1966","平安時代末期、源平戦乱の時代。数奇な運命に翻弄された悲劇の武将・源義経の生涯を描いた。京の五条の橋での弁慶との対決や屋島や壇ノ浦の合戦などの見どころが満載。美しくも波乱に満ちた義経の生涯を、23歳の尾","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010028_00000",1966-01-02T20:15:00,1,0
"D0009010032_00000","大河ドラマ　新・平家物語","総集編　上の巻","1971-1972","平安時代末期、平家一門の政権獲得から栄華の時代、そして壇ノ浦で源氏に敗れるまでの盛者必衰を描いた歴史絵巻。大河ドラマ第10作の節目で、これまでの大河ドラマの主役級が勢ぞろいし、大掛かりなセットとともに","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010032_00000",1972-01-02T19:59:59,1,0
"D0009010034_00000","連続テレビ小説　北の家族","第１回",1973,"北海道・函館港の5人家族に育った佐々木志津は、父と兄の確執に悩んでいた。やがて父が起こした事故が一家にとって経済的な打撃となり、父は失踪。家族は、金沢にある母の実家などを転々とする。さまざまな試練に直","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010034_00000",1973-04-02T08:15:00,1,0
"D0009010037_00000","大河ドラマ　草燃える","総集編（１）「頼朝起つ」","1978-1979","鎌倉幕府を開いた源頼朝の妻であり、二代将軍・頼家と三代将軍・実朝の母である北条政子が、骨肉の争いに苦悩した生涯を縦軸に、関東に武家政権を築いた頼朝の時代から、北条氏が実権を握り政権を盤石にした承久の乱","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010037_00000",1979-01-07T20:00:00,2,0
"D0009010038_00000","大河ドラマ　おんな太閤記","出会い","1980-1981","戦国期から徳川初期までを生き抜いた豊臣秀吉の正妻・ねね。常に女性や庶民の立場から、時代の行く末を冷静に見通した波乱の生涯を中心に、変革の時代を女性の視点から描いた。橋田壽賀子が女性たちの心をきめ細かく","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010038_00000",1981-01-11T20:00:00,1,0
"D0009010039_00000","土曜ドラマ　山田太一シリーズ　タクシー・サンバ","第１話　夜の少年",1981,"家族に去られ会社に切り捨てられた元商社マン・朝田英一は、タクシーの運転手に再就職。朝田と乗客や同僚たちとの関わり合いを通して現代に生きる人々の心の機微を描く。","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010039_00000",1981-10-17T20:00:00,1,0
"D0009010043_00000","大河ドラマ　春日局","１　父の出陣","1988-1989","戦国末期から徳川初期にかけ、徳川三代将軍・家光の乳母となり、やがて大奥を取り仕切る影響力を政治の場に発揮して、徳川三百年の泰平の礎を築いた春日局。激動の戦国時代に平和を求め、その理想実現のため力強く生","大河ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010043_00000",1989-01-01T19:30:00,1,0
"D0009010044_00000","連続テレビ小説　ひらり","第１回",1992,"東京の下町に住む、大の相撲好きの藪沢ひらり。相撲に関わりたいと、さまざまな困難にもくじけず、持ち前の明るさと行動力で突破し、ついには相撲部屋専属の栄養士に。性格が正反対の姉、相撲部屋の主治医との三角関","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010044_00000",1992-10-05T08:15:00,2,0
"D0009010045_00000","連続テレビ小説　すずらん","総集編　第２章　激動編",1999,"大正時代の末、北海道の小さな駅・明日萌（あしもい）駅に置き去りにされ、駅長・常盤次郎に育てられた萌。やがて実の母を捜しに上京する中で、養父に似た鉄道員と結婚。戦後ついに実母と巡り会う。北海道と東京を舞","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010045_00000",1999-04-05T08:15:00,1,0
"D0009010046_00000","連続テレビ小説　私の青空","総集編　第１回　お父さん、太陽だよ！お父さんにそっくりだよ！",2000,"青森・大間。結婚式当日に新郎・健人に逃げられたシングルマザー・北山なずなは、健人を捜しに息子と2人で東京へ。プロボクサーへの夢を追う健人に再会したものの、1人で息子を育てる覚悟を決め、給食の調理師とし","連続テレビ小説","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010046_00000",2000-04-03T08:15:00,1,0
"D0009010047_00000","金曜時代劇　華岡青洲の妻","第１回　夫のいない婚礼",2004,"江戸時代後期、紀州（和歌山県）の紀ノ川沿いに代々医者を勤める華岡家があった。当主・青洲は名家の娘、加恵（かえ）を嫁に迎えた。青洲の母、於継（おつぎ）は最初は加恵を大事にしたものの、青洲が帰郷するとない","ドラマ","program",0,3,,"https://www2.nhk.or.jp/archives/tv60bin/detail/index.cgi?das_id=D0009010047_00000",2005-01-21T21:15:00,1,0
